common_species_name,genus,species,scientific_name,classification,moisture,Specific_gravity,modulus_of_rupture,modulus_of_elasticity,work_to_maximum_load,impact_bending,compression_parallel_to_grain,compression_perpendicular_to_grain,shear_parallel_to_grain,tension_perpendicular_to_grain,strength
"Hemlock, Western",Tsuga,heterophylla,Tsuga heterophylla,Softwood,12%,0.45,11300,1.63,8.3,23,7200,550,1290,340,540
"Larch, Western",Larix,occidentalis,Larix occidentalis,Softwood,Green,0.48,7700,1.46,10.3,29,3760,400,870,330,510
"Larch, Western",Larix,occidentalis,Larix occidentalis,Softwood,12%,0.52,13000,1.87,12.6,35,7620,930,1360,430,830
"Pine, Eastern White",Pinus,strobus,Pinus strobus,Softwood,Green,0.34,4900,0.99,5.2,17,2440,220,680,250,290
"Pine, Eastern White",Pinus,strobus,Pinus strobus,Softwood,12%,0.35,8600,1.24,6.8,18,4800,440,900,310,380
"Pine, Jack",Pinus,banksiana,Pinus banksiana,Softwood,Green,0.4,6000,1.07,7.2,26,2950,300,750,360,400
"Pine, Jack",Pinus,banksiana,Pinus banksiana,Softwood,12%,0.43,9900,1.35,8.3,27,5660,580,1170,420,570
"Pine, Loblolly",Pinus,taeda,Pinus taeda,Softwood,Green,0.47,7300,1.4,8.2,30,3510,390,860,260,450
"Pine, Loblolly",Pinus,taeda,Pinus taeda,Softwood,12%,0.51,12800,1.79,10.4,30,7130,790,1390,470,690
"Pine, Lodgepole",Pinus,contorta,Pinus contorta,Softwood,Green,0.38,5500,1.08,5.6,20,2610,250,680,220,330
"Pine, Lodgepole",Pinus,contorta,Pinus contorta,Softwood,12%,0.41,9400,1.34,6.8,20,5370,610,880,290,480
"Pine, Longleaf",Pinus,palustris,Pinus palustris,Softwood,Green,0.54,8500,1.59,8.9,35,4320,480,1040,330,590
"Pine, Longleaf",Pinus,palustris,Pinus palustris,Softwood,12%,0.59,14500,1.98,11.8,34,8470,960,1510,470,870
"Pine, Pitch",Pinus,rigida,Pinus rigida,Softwood,Green,0.47,6800,1.2,9.2,,2950,360,860,,
"Pine, Pitch",Pinus,rigida,Pinus rigida,Softwood,12%,0.52,10800,1.43,9.2,,5940,820,1360,,
"Pine, Pond",Pinus,serotina,Pinus serotina,Softwood,Green,0.51,7400,1.28,7.5,,3660,440,940,,
"Pine, Pond",Pinus,serotina,Pinus serotina,Softwood,12%,0.56,11600,1.75,8.6,,7540,910,1380,,
"Pine, Ponderosa",Pinus,ponderosa,Pinus ponderosa,Softwood,Green,0.38,5100,1,5.2,21,2450,280,700,310,320
"Pine, Ponderosa",Pinus,ponderosa,Pinus ponderosa,Softwood,12%,0.4,9400,1.29,7.1,19,5320,580,1130,420,460
"Pine, Red",Pinus,resinosa,Pinus resinosa,Softwood,Green,0.41,5800,1.28,6.1,26,2730,260,690,300,340
"Pine, Red",Pinus,resinosa,Pinus resinosa,Softwood,12%,0.46,11000,1.63,9.9,26,6070,600,1210,460,560
"Pine, Sand",Pinus,clausa,Pinus clausa,Softwood,Green,0.46,7500,1.02,9.6,,3440,450,1140,,
"Pine, Sand",Pinus,clausa,Pinus clausa,Softwood,12%,0.48,11600,1.41,9.6,,6920,836,,,
"Pine, Shortleaf",Pinus,echinata,Pinus echinata,Softwood,Green,0.47,7400,1.39,8.2,30,3530,350,910,320,440
